OBJECTID,COD_VOLCAD,A├æO,FECHA,EVENTO_SIR,COD_SIGAU,COD_ESPEC,NOMBRE_COM,DAP,H,DC,AC,AI,PPT,VV,EM_COD,ESPACIO,LOC_COD,LOC_NOM,BARRIO,X,Y,mes,nombre_mes
24,V24,2011,2011-05-26,114407,01021305000048,25,Acacia japonesa,0.356506238859,8.0,7.2,4.14339165,10,2.6,3.2,U13,NO REGISTRA,1,USAQUEN,URBANIZACION RINCON DE GINEBRA,-74.031832153,4.709084564,5.0,May
25,V25,2011,2011-05-26,114408,09011105000037,15,Eucalipto plateado,0.366055513114,15.0,6.6,7.19879174,1,5.6,4.1,L3,NO REGISTRA,9,FONTIBON,CAPELLANIA II SECTOR,-74.134291282,4.666630151,5.0,May
26,V26,2011,2011-05-27,114443,10011101000097,94,Sauco,1.08225108225,5.0,6.3,4.28903212,3,1.7,3.4,L3,NO REGISTRA,10,ENGATIVA,QUIRIGUA SECTOR A,-74.107222096,4.708264276,5.0,May
27,V27,2011,2011-05-28,114429,08010901000534,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.232365673542,9.88750067,7.4,7.95921892,4,5.0,3.5,U14,NO REGISTRA,8,KENNEDY,URBANIZACION LAS AMERICAS I SECTOR,-74.135668651,4.626239718,5.0,May
28,V28,2011,2011-06-03,114755,08012004000336,26,"Acacia negra, gris",0.4329004329,6.0,11.47,5.63581385,4,5.2,4.1,U10,NO REGISTRA,8,KENNEDY,URBANIZACION TIMIZA,-74.149952647,4.609410417,6.0,June
29,V29,2011,2011-06-14,115198,16030204000083,36,"Caucho de la india, caucho",0.0,11.11673862,0.0,0.0,0,2.3,3.7,H4,NO REGISTRA,16,PUENTE ARANDA,URBANIZACION EL REMANSO,-74.114872823,4.599906621,6.0,June
30,V30,2011,2011-06-15,115208,11011202000116,3,"Cipres, Pino cipres, Pino",0.318309141839,7.0,7.8,7.51610968,1,1.8,2.8,U13,NO REGISTRA,11,SUBA,URBANIZACION LA TRINITARIA,-74.092885115,4.738360625,6.0,June
31,V31,2011,2011-06-16,115265,16020902000253,118,Acacia morada,0.0,3.0,0.0,0.0,0,2.1,3.6,U13,NO REGISTRA,16,PUENTE ARANDA,SANTA MATILDE I SECTOR,-74.107682437,4.599673276,6.0,June
32,V32,2011,2011-06-16,115267,08010303000081,180,Acacia spp,0.149605296664,7.00495034,9.15,4.88642845,9,1.0,4.1,L3,NO REGISTRA,8,KENNEDY,URBANIZACION CASTILLA,-74.142848171,4.640606066,6.0,June
33,V33,2011,2011-06-19,115409,10011303000167,3,"Cipres, Pino cipres, Pino",0.381970970206,13.0,10.0,4.78842507,17,0.1,3.9,L3,NO REGISTRA,10,ENGATIVA,MOLINOS DE VIENTO,-74.116014756,4.709764727,6.0,June
